,list_price_dkk,rooms,home_size_m2,lotsize_m2,expenses_dkk,balcony,floor_as_int,m2_price,zipcode_avg_m2_price,age,Zipcode_1300,Zipcode_1600,Zipcode_1799,Zipcode_1900,Zipcode_2000,Zipcode_2100,Zipcode_2150,Zipcode_2200,Zipcode_2300,Zipcode_2400,Zipcode_2450,Zipcode_2500,Zipcode_2700,Zipcode_2720,Zipcode_2770,Zipcode_2900,Hometype_Andelsbolig,Hometype_Ejerlejlighed,Hometype_Fritidshus,Hometype_Rækkehus,Hometype_Villa,Hometype_Villalejlighed
32,3495000.0,4.0,91,0.0,4165.0,0,0,38406.593406593405,49171.014350839054,108.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,3695000.0,3.0,62,0.0,2518.0,2,3,59596.77419354839,58670.47911762888,59.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,4495000.0,4.0,91,0.0,3329.0,2,1,49395.604395604394,49171.014350839054,131.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,6500000.0,5.0,126,0.0,5307.0,2,4,51587.30158730159,49171.014350839054,52.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,6995000.0,3.0,87,0.0,5968.0,0,0,80402.29885057472,49171.014350839054,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,2195000.0,2.0,69,0.0,2800.0,0,3,31811.594202898552,49171.014350839054,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,3095000.0,2.0,65,0.0,2728.0,0,0,47615.38461538462,58670.47911762888,52.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,4795000.0,3.0,93,0.0,3759.0,2,6,51559.13978494624,49171.014350839054,52.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,7995000.0,4.0,152,0.0,4861.0,2,3,52598.68421052631,58670.47911762888,131.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,2425074.0,2.0,69,0.0,3550.0,0,0,35146.0,49171.014350839054,133.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,2995000.0,2.0,72,0.0,3213.0,2,2,41597.22222222222,49171.014350839054,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,4995000.0,5.0,126,0.0,4830.0,2,1,39642.857142857145,49171.014350839054,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,2995000.0,3.0,89,0.0,3741.0,2,0,33651.68539325843,49171.014350839054,65.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,2495000.0,2.0,58,0.0,2615.0,0,1,43017.24137931035,49171.014350839054,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,3195000.0,2.0,66,0.0,3320.0,2,0,48409.09090909091,49171.014350839054,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,4795000.0,3.0,93,0.0,4946.0,2,0,51559.13978494624,49171.014350839054,46.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,3250000.0,2.0,61,0.0,2066.0,2,5,53278.688524590165,49171.014350839054,119.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,3395000.0,3.0,68,0.0,2141.0,2,2,49926.470588235294,49171.014350839054,82.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
